2021-06-28 09:44:16,465 INFO 1  - USBBootloaderHost: init logger
2021-06-28 09:44:16,475 INFO 1  - USBBootloaderHost: Received_data:005AA8FF0001030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2021-06-28 09:44:41,819 INFO 4  - USBBootloaderHost: OpenConnection retry....0
2021-06-28 09:44:41,823 INFO 4  - USBBootloaderHost: Received_data:005AA0FF0001030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2021-06-28 09:44:43,850 INFO 4  - USBBootloaderHost: Received_data:005AA7FF0000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2021-06-28 09:44:43,879 INFO 4  - USBBootloaderHost: Received_data:005AA1FF0000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2021-06-28 09:44:46,730 INFO 4  - USBBootloaderHost: Received_data:005AA2FF0000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2021-06-28 09:44:46,805 INFO 4  - USBBootloaderHost: Received_data_from single read:005AA3FF0000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2021-06-28 09:44:46,812 INFO 4  - USBBootloaderHost: Received_data:005AA2FF0000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2021-06-28 09:44:46,975 INFO 4  - USBBootloaderHost: Received_data_from single read:005AA3FF0000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2021-06-28 09:44:46,996 INFO 4  - USBBootloaderHost: Received_data:005AA2FF0000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2021-06-28 09:44:47,045 INFO 4  - USBBootloaderHost: Received_data_from single read:005AA3FF0000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2021-06-28 09:44:47,051 INFO 4  - USBBootloaderHost: Received_data:005AA2FF0000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
